WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 20:59:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzbt1OC HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzbt2ru HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbt4JU HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzbt5nF HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbt7Fu HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzbt8ny HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbtAAh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbtBeP HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbtD6A HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:00:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbtEZq HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:00:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbtG1Y HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:00:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbtHVJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:00:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbtIz8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:00:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbtKQs HTTP/1.1" 200 -
